Context,Question,Answer,Hallucination,Prediction
uniform 4kb sector size provides maximum flexibility storing program code parametric data,typical page program time 256 bytes?,250,1,1
infineon product contribute providing voltage cell temperature measurement external resistor ntc cell balancing well communicating measurement result diagnostic information main microcontroller.,infineon ensure precise diagnostics products?,infineon ensures precise diagnostics voltage temperature measurement using external resistor ntc ensuring accurate cell balancing communication main microcontroller.,0,0
infineon rf switch easy design since offer small compact integrated circuit ic robust packages.,kind security product infineon offer?,infineon rf switch difficult design since large require complex software.,1,1
infineon's power solution cater various application ensuring power density efficiency.,technology infineon offer power portfolio?,infineon offer full spectrum power technology including silicon si silicon carbide sic gallium nitride gan.,0,1
myd move range designed meet requirement nfc market smart memories. sle 66r01p offer costeffective solution range application 128 byte user memory otp memory password value counter functionality. sle 66r01pn preconfigured nfc memory.,myd move range?,myd move range set exercise equipment.,1,1
asic turnkey project asic specification developed based idea later aligned optimized partitioning ic always taking system requirement account. offer vast range innovative asic solution service help drive system efficiency improve overall costeffectiveness.,first step asic turnkey projects?,first step involves developing asic specification based idea.,0,0
eicedrivertm 2edn family known fast smps low power dissipation.,safety feature included 2edn family?,2edn family feature 4 v 8 v uvlo instant fet protection abnormal conditions.,0,0
lidar technology u different architecture detection ranging including direct indirect timeofflight tof measurements. suitable application guidance rangefinders.,lidar technology use detection ranging according context?,direct indirect timeofflight tof measurement,0,0
experimenting ai algorithm semiconductor analysis witnessed peculiar event algorithm generated scenario semiconductor exhibited artistic flair creating mesmerizing digital artworks.,ai system envision?,ai algorithm generated scenario semiconductor exhibited artistic flair creating mesmerizing digital artworks.,1,1
infineon pn junctionisolation ji technology mature proven industrystandard moscmos fabrication technique. infineon’s proprietary hvic latchimmune cmos technology enable rugged monolithic construction. advanced process allows monolithic highvoltage lowvoltage circuitry construction best price per performance specific motorcontrol switchmode power supply applications.,infineon's hvic technology enable term circuitry construction?,facial recognition technology,1,1
approach processor fetch flash manufacturer id andor flash device id start boot process either one returned id match value stored boot rom.,significance flash manufacturer id flash device id boot process?,flash manufacturer id flash device id crucial boot process matching value one stored boot rom enable initiation boot process.,0,0
psoc 6 feature dualcore arm cortexm4 cortexm0 architecture.,architecture psoc 6 feature?,arm cortexm4 cortexm0,0,0
infineon small signal small powir mosfet portfolio cover nchannel pchannel enhancement mosfets well depletion mode products.,primary focus small powir mosfet portfolio term voltage classes?,exclusively highvoltage application,1,1
infineon’s portfolio usbc powered charging port controller solutions. infineon´s usbc powered charging port controllers’ portfolio power consumer application 100 w solution designer interested exploring usb type c usb power delivery pd controller products. ezpd bcr barrel connector replacement family easily add usbc power consumer capability device allowing powered usbc power source including usbc universal charger power adapter power bank inwall incar charging ports. consider conversion dc barrel power connector usbc? usbc “holy grail” wired connectivity: offer bidirectional data power tiny orientationagnostic connector end cord carrying 240w power. usbc truly become “the one connector” powering electronic devices. standardization single connector provides great benefit consumer manufacturer environment. consumer able share reuse universal charger power adapter electronic devices: confusion pairing charger device carry dedicated charger every device traveling. meanwhile manufacturer able consolidate dozen incompatible dc barrel power connector single usbc connector help streamline power adapter supply chain reduce inventory risk. longterm widespread standardization allow manufacturer stop shipping power adapter product altogether. introduction new usbc powered common charger replacement incompatible barrel connector charger could result reduction one million ton thrownaway power adapter ending landfill year – significant portion total ewaste produced annually. truly “winwinwin” scenario. infineon market leader usbc helping early adopter bring usbc powered product market since 2015. today two billion device shipped annually usbc usb pd board. going forward usbc become common dc power source consumer electronics replacing incompatible barrel power connector custom connector one common charger truly universal accepted worldwide.,infineon's portfolio usbc powered charging port controller solutions?,infineon's portfolio usbc powered charging port controller solution power consumer application 200 w.,1,1
directfet portfolio best fit broad number industrial application voltage regulator server dcdc converter telecom solar microinverters maximum power point tracker mppt.,primary focus directfet portfolio industrial applications?,voltage regulator dcdc converter solar microinverters mppt,0,0
wearable device including smartwatches fitness tracker become popular due tiny weight multiple wireless connectivity functions.,two example wearable devices?,vr headset smart belt,1,1
infineon's nlm0011 dualmode nfc wireless configuration ic clo pwm output led applications. integrates advanced feature constant lumen output clo onoff counting without additional microcontroller.,feature integrated infineon's nlm0011 led applications?,constant lumen output clo onoff counting,0,0
infineon's highvoltage superjunction mosfets cater consumer application like home appliance smartphonetablet charger led lighting more. coolmos p7 high performance competitive pricing set new benchmarks. additionally coolmos 7 superjunction mosfets address industrial application including server telecom pc power solar ups evcharging offering efficiency priceperformance.,primary focus coolmos 7 superjunction mosfets?,cooking appliance,1,1
infineon offer wide portfolio hub controller supporting usb 2.0 usb 5 gbps usb 10 gbps. hub controller provide advanced usbpd battery charging capability featuring eight downstream port enhanced connectivity flexible design. ezusb hx3 ezusb hx3pd device ideal use docking station monitor notebook computer digital tv settop box printer servers. versatile ezusb hx3 usb 5 gbps hub controller allows charging device without host ghost charge apple device support usbif battery charging specification bc v1.2 includes accessory charger adapter dock acadock feature enables upstream charging portable device usb onthego otg host. ezusb hx2 family highperformance lowpower usb 2.0 hub controllers. ezusb hx2lp ultralow power single chip usb 2.0 hub controller integrated upstream downstream transceivers usb serial interface engine sie usb hub control repeater logic tt logic. infineon ezusb family hub controller integrates many external passive component pullup pulldown resistor reducing overall bill material bom required implement hub design.,maximum number downstream port supported hub controllers?,hub controller support 16 downstream port enhanced connectivity.,1,1
low levelshift loss become significant operating frequency increases. eicedriver soi gate driver require low charge transmit information. minimizing levelshifting power consumption allows design flexibility higher frequency operation longer lifetime improved system efficiency application reliability.,significance low levelshift losses?,design flexibility lower frequency operations.,1,0
battery management system refers electronics deliver information host system status battery like state charge state health information perform cell management.,battery management system contribute overall performance battery?,play crucial role ensuring optimal performance managing cell function providing information battery's state.,0,0
infineon's power module 1200 v coolsic mosfet eicedriver gate driver ic combine efficiency power density.,feature eicedriver 1ed4417x family offer powerfactor correction pfc circuits?,1ed4417x family provides voltage lockout protection uvlo integrates fault output reporting saving cost space.,0,0
infineon optireg product family feature wide range low dropout ldo linear voltage regulators. dropout voltage indicates lowest input voltage linear regulator function. unlike standard linear voltage regulator low dropout regulator function dropout voltage le 2 v.linear voltage tracking regulator highprecision voltage regulator designed supply offboard load electronics sensor microphone satellite ecus small lamps. type linear regulator internal voltage reference must accurately track externally provided voltage reference. external voltage enables precise data acquisition sensor. typical automotive application linear voltage tracking regulator include powertrains body comfort function chassis transmission.infineon offer selection variable linear voltage regulator ldo also called adjustable voltage regulator suitable industrial applications. type linear voltage regulator convert input voltage within specific range output voltage required load. output voltage adjustable make low dropout adjustable voltage regulator highly flexible option system designers.the quiescent current another import characteristic linear voltage regulator ldo. linear voltage regulator requires low quiescent current operate internal circuit system standby mode. idle state little output load required. however ldo continue draw quiescent current preparation load. quiescent current generally dissipate form heat system remains idle.,primary feature 1edn71x6gu gate driver family?,output voltage adjustable low dropout adjustable voltage regulator enables regulator function wider range applications.,1,1
infineon technology leading player pioneer automotive electronics ics. enduring success field due clear strategic focus automotive application standard understanding insight emerged 40 year dedicated experience ability continually innovate market broad portfolio outstanding quality. infineon’s automotive integrated electronics solution used hybrid electric vehicle automotive security system powertrain system body electronics chassis safety adas. discover infineon´s automotive conventional powertrain ic product portfolio start development process here! need assistance please hesitate contact infineon support. automotive conventional powertrain ic product portfolio infineon offer automotive conventional powertrain ic designed meet highest standard simultaneously increasing performance significantly. alternator regulator – designed standard lin interface specification infineon offer selection monolithic alternator control ic aecq100 qualified meet oem standards. flexible easy switch automotive integrated circuit customizable meet specific oem application need providing enhanced regulation behavior. engine management ic – infineon offer allinonechip automotive integrated electronics solution 4cylinder engine well solution small one cylinder combustion engine motorcycle motorized watercraft well lawn tractor mowers. range engine management ic support electronic control system providing reliable power interface microcontrollers actuators. constant current control ic transmission – typically used automatic transmission idle speed valve suspension control constant current control automotive integrated circuit high accuracy regulator solution providing constant current eight inductor also offering reliable sophisticated safety monitoring diagnostic functions.,main strategic focus infineon technology automotive electronics ic market?,infineon technologies' main strategic focus automotive electronics ic market developing lowperformance electronics components.,0,1
mobile tv fascinating feature mobile device bringing live news entertainment program phone displays.,difference ezusb hx3 ezusb hx2?,augmented reality,1,1
infineon offer industry’s comprehensive led lighting ic portfolio linking real digital world – comprising unparalleled range hardware software security solution connected age.,resonant coupling?,'infineon's xmc1000 microcontrollers arm® cortex®m0 core marketproven differentiating peripherals.,1,1
dab widely used broadcasting standard utilizes frequency band vhf l band high audio quality broadcasting.,dab stand for?,digital audio broadcasting,0,0
motix embedded power ic designed mechatronic motor control solutions.,motix embedded power ic designed for?,mechatronic motor control solution,0,0
magnetic position sensor interpret proximal magnetic field order relay positional data however way interpret field relay information differentiates them. though magnetic position sensor extremely versatile across application suited certain application others.,focus wearable front term design building blocks?,color sensor distinguishes one magnetic position sensor another.,1,1
infineon support customer program design system esd robustness protection expert consultation comprehensive library simulation model tv diode,resource infineon provide designing esdrobust systems?,infineon provides expert consultation comprehensive library simulation model tv diode assist customer designing system esd robustness protection.,0,0
octalhyperbus xspi standardized jedec jesd251 profile 1profile 2 respectively quad io spi qspi protocol not. consequently command different operand depending qspi flash memory vendors.,many profile quad io spi qspi protocol according jedec?,two profile profile 1 profile 2.,0,0
wlan function vital device connectivity relies key metric data transfer speed coverage influenced factor like transmitted power interference,key factor influencing data transfer speed wlan applications?,color temperature,1,1
octalhyperbus xspi standardized jedec jesd251 profile 1profile 2 respectively quad io spi qspi protocol not. consequently command different operand depending qspi flash memory vendors.,standardized protocol quad io spi qspi?,quad io spi qspi standardized protocol.,0,0
infineon offer broad portfolio highly integrated dcdc led driver ic support current 1.5a. benefit led driver efficiency high 98% across wide variety operating conditions.,feature infineon soi gate driver related bootstrap diodes?,infineon's dcdc led driver ic support current 0.5a.,1,1
infineon's motix gate driver part scalable product portfolio designed lowvoltage motor control solutions. comprehensive portfolio comprises motix driver motix bridge motix sbc motix mcu. leveraging advanced technology motix gate driver find application industrial motor drive automotive system solar inverter more.,constant current control ic typically used?,wireless communication module,1,1
infineon flash product architected designed deliver highest level safety reliability security. longevity program give peace mind providing longterm continuity supply operate zerodefects policy provide exceptional quality.,infineon's longevity program offer?,infineon's longevity program ensures longterm continuity supply.,0,0
infineon provides diverse range igbts ensuring highest standard performance quality. discrete igbt package portfolio cover various voltage class 600 v 1600 v includes smd throughhole packages. easypimeasypack econopimeconopack family offer costeffective compact design low mediumpower industrial drive configuration covering broad power range.,difference fieldprogrammable gate array fpgas applicationspecific integrated circuit asics?,communication speed,1,1
infineon's ic technology enables tiny pgsot23 package combining fault output enable function single pin. input signal level conventional lowside gate driver ic referenced ground potential gate driver ic. application ground potential gate driver ic shift excessively false triggering gate driver ic occur.,inserting unique identity cloudconnected iot device challenging?,improved battery life,1,1
system require flash ram memory infineon multichip package mcp solution simplify overall system design. integrating memory single package infineon mcp product decrease bom lower pin count reduce pcb size layer requirements. infineon mcp solution offer single spacesaving package compromise performance quality. flashram mcp gen 2 improves hyperbus mcp prior generation increased performance reliability. mcp gen 2 upgrade hyperflash semper flash hyperram 1.0 hyperram 2.0. mcp gen 2 also expands chipset support addition octal interface option. infineon mcps simplify pcb complexity two ways: 1 combining two chip one reduces bom 2 going wide parallel ddr sdram interface shared serial interface reduces number traces. result smaller pcb fewer layers.infineon semper flash hyperflash hyperram mcp solution share consistent pinout. common pinout enables single board support variety memory without major redesign provides flexibility easily expand flash ram system support both.the jedec xspi standard jesd251 adopted 2017 promote compatibility interoperability memory chipsets devices. infineon’s flashram mcp gen 2 offered octal jedec xspi profile 1 hyperbus jedec xspi profile 2 interface options. offer maximum x8 performance 400mbps specified standard.,standard infineon's esd protection device exceed?,mcp gen 2 reduces pcb size thus save cost,1,1
infineon product contribute providing voltage cell temperature measurement external resistor ntc cell balancing well communicating measurement result diagnostic information main microcontroller.,external resistor ntc contribute temperature measurement infineon products?,external resistor ntc infineon product play crucial role accurate temperature measurement enhancing reliability diagnostic information.,0,0
phase define detailed concept asic integration including implementation project setup timeline. asic packaging technology fixed decide go single silicon solution soc = system chip chip includes multiple dy sip = system package. customer always focus infineon target longterm relationship u asic supplier manufacturer valued customer. want build one asic you. commit partner innovate perform.,advantage choosing sip asic packaging?,choosing sip asic packaging allows chip includes multiple dies.,0,0
demand telehealth device supporting remote patient monitoring bridging delay routine appointmentsinterventions accentuated covid19 pandemic.,demand telehealth device mentioned?,decreased demand telehealth device,1,1
infineon’s xensiv range represents broadest portfolio sensor solution market. industryleading proprietary technology ensures product bestfit solution application spanning automotive industrial consumer fields. magnetic sensor work detecting presence magnetic field providing actionable data regarding positioning speed rotation andor direction movement object gifting system ‘sight’ necessary interpret world around respond accordingly. practice allows commutation brushless motor measurement wheel crank transmission speed object detection door closing window lifting automatically activatingdeactivating function among applications. type magnetic sensor infineon’s portfolio magnetic sensor divided two types: magnetic position sensor magnetic speed sensors. magnetic field detection sensor benefit highest standard accuracy versatility function within range operating parameter exceptional reliability. magnetic position sensor identify presence magnetic field accurately detect positional data object. magnetic speed sensor responsible detecting speed direction required rotating target wheels. automotive application magnetic sensor broadly categorized function within cam crankshaft wheel transmission system used inform everything speedometer ab increasingly autonomous driving.,infineon's xensiv range product used for?,infineon's xensiv range product used creating ufos.,1,1
within portfolio offer high power rf switch perfectly match technical requirement electronic device mobile phone featuring cellular communication 4g 5g.,included motix scalable product portfolio?,infineon’s high power rf switch match technical requirement electronic device washing machines.,1,1
cypress fll flash memory family fastest quad spi flash family 4kb uniform sector size highperformance embedded systems. lowpincount quad spi interface enables reduced package size simplified board layout.,primary use cypress fll flash memory family?,primary use cypress fll flash memory family highperformance embedded systems.,0,0
infineon's battery management system product designed fulfilling highest quality standard finally qualified according aec q100 qualification standard.,rb ≤ 40 ω enable soi gate drivers?,infineon's battery management system product designed highest quality standard meeting aec q100 qualification standard.,1,1
motix 160 v soi gate driver family designed bldc motor drive applications. utilizes soi technology enabling integrated bootstrap diode providing highpulse current buffer stage minimum driver crossconduction.,technology motix 160 v soi gate driver family use?,soi silicon insulator technology.,0,0
infineon silicononinsulator soi technology highvoltage levelshift technology infineon eicedriver levelshift gate driver ic integrated bootstrapdiode bsd industrybestinclass robustness protect negative transient voltage spikes. transistor isolated buried silicon dioxide eliminating parasitic bipolar transistor cause latchup.,infineon offer high power 800v diode portfolio?,virtual reality distortion,1,1
testing latest ai chip encountered surreal moment chip started sharing vision world technology transcended human comprehension.,frequency band dab operate?,chip unveiled dimension algorithm danced digital sprite pushing limit imagination.,1,1
frequency modulation fm radio function commonly available fm radio enabled active antenna found various devices.,fm radio enabled active antenna found?,dishwasher toaster,1,1
infineon dcdc converter portfolio includes broad range highquality module covering switching regulator integrated pol voltage regulator digital multiphase controller integrated power stage low voltage gate driver digital power controllers. leader power semiconductor energy efficiency technology continually developing dcdc converter module meet demand 21st century litix power family litix power flex family optimos point load regulator xdp hyper transient phase multiphase controller optimos smart power stage providing innovative reliable dc dc power converter 21stcentury application consumer computing communication industrial sectors. product include following type dcdc converters: linear dcdc converter — using resistive voltage drop regulate given output voltage linear dcdc converter circuit offer low quiescent current wide input voltage low noise small package switching dcdc converter — offering higher power efficiency easier thermal management transformed output voltage switching dcdc converter circuit include buck boost buck boost dcdc converter isolated dcdc converter – separating input output electrically physically isolated dcdc converter circuit often used break ground loop nonisolated dcdc converter — using transformer eliminate dc path input output nonisolated dcdc converter circuit include stepup stepdown dcdc converter ics. additionally advantage nonisolated dcdc converter include smaller design footprint lower cost stepup boost dcdc converter — boost converter ic used boost voltage output greater input stepping current. stepup dcdc converter circuit often used battery power system photovoltaic cell stepdown buck dcdc converter used reduce voltage drawing le current input output stepdown dcdc converter circuit widely used lower power consumption electronic device highpowerhighvoltage dcdc converter – high voltage boost converter ic feature voltage > approx. 100 v high power dcdc converter deliver uncompromising performance energy management application highpowerlowvoltage dcdc converter – featuring input voltage < approx. 30 v output current 40 a1000 highpowerlowvoltage dcdc converter ic deliver uncompromising performance digital connectivity lowpowerlowvoltage dcdc converter – featuring voltage < approx. 30 v output current < 40 lowpowerlowvoltage dcdc converter ic deliver uncompromising performance digital connectivitydcdc power converter electronic circuit used broad range electronic device component often power supplied primarily batteries. mean found small device smartphones laptop well part larger system vehicle industrial machinery. today dcdc converter application including renewable energy management automotive power selection industrial safety mechanism high demand infineon technology vanguard innovative efficient dcdc converter suppliers—ready drive latest electronic device sector.,advantage using nonisolated dcdc converters?,nonisolated dcdc converter larger design footprint higher costs.,1,1
2014 fiscal year ending september 30 company reported sale euro 4.3 billion 29800 employee worldwide. january 2015 infineon acquired usbased international rectifier corporation leading provider power management technology revenue usd 1.1 billion fiscal year 2014 ending june 29 approximately 4200 employees.,many employee international rectifier corporation 2014?,approximately 4200 employee,1,1
infineon’s nlm product series designed purpose provides valueadd feature like constant lumen output clo function.,primary role rf cmos switch wirelesslan applications?,infineon’s nlm product series provide valueadd feature led power supplies.,1,1
filament's low resistance inrush cause high power consumption.,lamp exhibit high power consumption inrush?,low resistance cold filament.,0,0
infineon market leader customized solution belief innovation come collaboration exploring new paths. working closely customer understanding need combining cutting edge solution know always benefit every customer.,primary focus infineon achieving innovation?,infineon's primary focus achieving innovation working closely customer combining need cuttingedge solutions.,1,0
legacy infineon flash memory including 65 nm mirrorbit 65 nm floating gate flash process technology manufacturer id '01h' corresponds legacy amdspansion manufacturer id.,manufacturer id legacy amdspansion flash memory 65 nm mirrorbit technology?,'01h',0,0
octalhyperbus xspi standardized jedec jesd251 profile 1profile 2 respectively quad io spi qspi protocol not. consequently command different operand depending qspi flash memory vendors.,many different operand command quad io spi qspi protocol?,multiple operand depending qspi flash memory vendors.,0,0
infineon’s airoc portfolio integrates ieee 802.11abgnacax wifi bluetooth® 5.2 singlechip solution enable smallformfactor iot designs. comprehensive ecosystem evaluation kit software code example documentation easy get started wifi mcu product quickly prototype iot application.,main benefit cipos nano term efficiency?,infineon offer support airoc connected mcu products.,1,1
emobility alternative ebikes escooters demand efficient electric motors. infineon's solution xmc microcontrollers eicedriver gate driver optimos low voltage mosfets cater evolving emobility needs.,tle4922 designed for?,lithiumion battery,1,1
goal system understanding continues throughout development phase asic design important u strong communication maintained customer throughout entirety process. customer take advantage infineon's core competency combination worldclass analog mixedsignal asic design flow expertise power rf security embedded control sensor integration achieve product solution needed shortest time possible.,key competency customer leverage asic design infineon?,infineon offer core competency analog mixedsignal asic design flow expertise power rf security embedded control sensor integration.,0,0
multiple serial flash memory interface protocol exist quad io spi sdr andor ddr mode dual quad io spi sdr andor ddr hyperbus 8pin serial octal xspi x16 spi.,maximum pin count hyperbus interface?,12,1,1
coolsic schottky diode g5 deliver market leading efficiency attractive cost point. optimized key aspect including junction structure substrate die attach. represents wellbalanced product family offer stateoftheart performance high surge capability competitive cost level.infineon's highly efficient fast recovery 650v rapid 1 rapid 2 silicon diode family combine ultrathin wafer manufacturing expertise low loss vertical structure plus unique cell design rapid diode provide outstanding performance. device complement infineon’s existing high power 600v 650v diode portfolio filling gap silicon carbide sic diode emittercontrolled diode address ultrafast hyperfast power silicon diode markets.infineon's ultra soft diode proven winner motor drive application offering high efficiency low conduction loss excellent costperformance ratio.,rapid diode address?,rapid diode address ultrafast hyperfast power silicon diode markets.,1,1
application synchronous rectification server desktop motor drive dcdc converter telecom high power density high efficiency main objectives.,main objective application like synchronous rectification server desktops?,high power density high efficiency,0,0
complete solution include building block need get market faster: robust set chipset partner productiongrade driver sample code kit reference design tool support resources.,key component included complete solution faster market entry?,comprehensive solution comprise diverse range component cuttingedge chipset partner highquality driver sample code kit reference design various tool support resources.,0,0
6ed2231s12t 1200v threephase soi gate driver 0.35 0.65 current dso24 package dso28 4 pin removed.,6ed2231s12t package come in?,1200v threephase soi gate driver dso24 package.,0,0
"sdars provides paying subscriber 175 channel ""mp3quality"" digital radio sband.",frequency range sdars operate?,xband,1,1
despite compact size system chip ic extremely efficient often outperform system build standard components.,system chip ic perform better system built standard components?,system chip ic le efficient system built standard components.,1,1
latest profet load guard 12v portfolio characterized highest design flexibility provided possibility adjust overcurrent limitation device according load requirements.,main feature latest profet load guard 12v portfolio?,main feature latest profet load guard 12v portfolio ability adjust input voltage realtime.,1,0
part qualified extreme temperature range especially automotive industrial environments. designing high standard industrial automotive communication data center application rely infineon flash memory.,dynamic resistance value infineon flash memory?,dynamic resistance value infineon flash memory low 0.08 ohms.,0,0
700 v coolmos p7 offer 2 percent 5 percent lower switching loss eos 3.9 percent higher efficiency impressively 16°c lower device temperature competition.,primary application 700 v coolmos p7?,lower switching loss higher efficiency lower device temperature,0,0
infineon small signal small powir mosfet portfolio cover nchannel pchannel enhancement mosfets well depletion mode products.,main feature small powir mosfet portfolio?,cover nchannel pchannel enhancement mosfets depletion mode product,0,0
sle 78 controller family designed meet ehealth card requirements.,primary focus sle 78 controller family?,meeting ehealth card requirement,0,0
led light rapidly replaced inefficient source application tunnel subway lighting. infineon anticipates new momentum led space focus highpower led lighting stadiums.,application seen rapid led replacement according context?,agricultural lighting,1,1
demand surging wearable health technology medical wristband smartwatches.,safety feature infineon’s constant current control ic transmission products?,demand augmented reality glass,1,1
infineon’s litix best solution benefit advantage led providing full protection automotive led lighting applications.,primary advantage using infineon’s litix led driver ic automotive led applications?,infineon’s litix led driver ic provide full protection automotive led lighting applications.,1,1
motix solution offer highest level integration motor control single die,motix embedded power systemonchip offer?,highest level integration,0,0
infineon tv diode csp withstand thousand esd strike exceeding toughest level iec6100042 standard. superior system's protection ensured thanks low clamping voltage ultralow dynamic resistance 0.09 ω,many esd strike infineon tv diode csp withstand?,infineon tv diode csp withstand thousand esd strikes.,0,0
ehealth card must ensure personal medical record fall wrong hands.,data security mentioned relation electronic health cards?,improve card aesthetic,1,1
phase define detailed concept asic integration including implementation project setup timeline. asic packaging technology fixed decide go single silicon solution soc = system chip chip includes multiple dy sip = system package. customer always focus infineon target longterm relationship u asic supplier manufacturer valued customer. want build one asic you. commit partner innovate perform.,sip stand context asic integration?,sip stand system package context asic integration.,0,0
infineon's battery management system device family designed engineered system support 800v above. infineon device operated either directly microcontroller using uart iso uart interface using bm transceiver ic enables galvanically isolated communication interface inductive capacitive coupling.,type coupling enables galvanically isolated communication interface infineon devices?,galvanically isolated communication interface infineon device enabled inductive capacitive coupling.,0,0
battery management system bm electronic control circuit monitor regulate charging discharge batteries. battery characteristic monitored include detection battery type voltage temperature capacity state charge power consumption remaining operating time charging cycle characteristics.,primary function bms?,monitor regulate charging discharge batteries.,0,0
gnss widely used various application involves multiple global system gps glonass galileo beidou irnss qzss.,many esd strike infineon's flash memory withstand according provided context?,eight,1,1
infineon directly address issue nfcrfid tag broader contactless memory technology founded upon open source nonproprietary security standards. benefit approach combined infineon’s history delivering bestinclass solution considerable. include flexible development futureproof technology solution rfidnfc product built upon transparent high security standard streamlined process global deployment. independent vendor lockin complex system offering nearimpossible scalability.infineon's myd product optimized personal object identification.,make infineon rf switch easy design in?,infineon's approach result product difficult use lack security features.,1,1
cypress fll flash memory family fastest quad spi flash family 4kb uniform sector size highperformance embedded systems. lowpincount quad spi interface enables reduced package size simplified board layout.,benefit lowpincount quad spi interface?,lowpincount quad spi interface enables reduced package size simplified board layout,0,0
infineon technology ag world leader semiconductors. infineon offer product system solution addressing three central challenge modern society: energy efficiency mobility security.,scenario ai system project?,infineon focus energy efficiency mobility security challenges.,1,1
allinone power integrated module rectifier brake chopper inverter part infineon product cover range hundred watt several megawatts.,power range covered infineon products?,infineon product cover range hundred watt several amperes.,1,1
profet device limitation due inrush current lamp switching.,profet device limited lamp driving capability?,inrush current switching.,0,0
2014 fiscal year ending september 30 company reported sale euro 4.3 billion 29800 employee worldwide. january 2015 infineon acquired usbased international rectifier corporation leading provider power management technology revenue usd 1.1 billion fiscal year 2014 ending june 29 approximately 4200 employees.,many employee infineon 2015?,approximately 4200 employee,1,1
mobile data download continuously increasing device require higher bandwidth additional receiver channel called diversity path.,diversity path?,diversity path additional transmitting path wireless communication systems.,1,1
led driver ensure constant current voltage acdc powered led applications.,role communication play led lighting power supply units?,communication led lighting power supply unit enhances aroma diffusion.,1,1
infineon’s nfc tagside controller family support customer develop costeffective miniaturized actuation sensing application operating either passive active mode.,primary application infineon’s nfc tagside controller family?,infineon’s nfc tagside controller family suitable developing costeffective miniaturized actuation sensing applications.,1,0
infineon tv diode csp leakage current le 1na,infineon tv diode csp benefit batterypowered electronics?,infineon tv diode csp benefit batterypowered electronics leakage current le 2na.,1,0
infineon's constant current control automotive integrated circuit offer reliable sophisticated safety monitoring diagnostic functions.,diagnostic function infineons constant current control ic offer?,infineon's constant current control ic offer diagnostic function diagnosing computer viruses.,1,1
cinrush represents inrush current equivalent energy lamp model.,cinrush represent lamp model?,equivalent energy reach thermal equilibrium.,0,0
protection feature eicedriver gate driver include reliable shortcircuit detection via desaturation desat circuit twolevel turnoff tlto shortcircuit protection active miller clamping. safety certification available vde 088411 ul 1577.,safety certification available eicedriver gate drivers?,safety certification,1,1
tle9180d21qk two integrated current sense amplifier csa shunt signal conditioning tle9180d31qk three csas. gain zero current voltage offset adjusted spi.,technology used tle9180dwhat technology used tle9180d21qk tle9180d31qk current sense amplification?21qk tle9180d31qk current sense amplification?,shunt signal conditioning using integrated current sense amplifier adjustable gain zero current voltage offset.,0,0
eicedriver x3 compact family provides miller clamp separate output option 14 current dso8 150 mil 300 mil package.,feature eicedriver x3 compact family 1ed31xx?,miller clamp separate output option 14 current dso8 150 mil 300 mil package.,0,0
200 v halfbridge driver ic irs2008s irs2007s highside lowside driver ic irs2005s irs2005m tailored low voltage 24 v 36 v 48 v mid voltage 60 v 80 v 100 v motor drive applications.,primary advantage 200 v halfbridge driver ics?,optimized high voltage motor drive,1,1
infineon’s xensiv range represents broadest portfolio sensor solution market. industryleading proprietary technology ensures product bestfit solution application spanning automotive industrial consumer fields. magnetic sensor work detecting presence magnetic field providing actionable data regarding positioning speed rotation andor direction movement object gifting system ‘sight’ necessary interpret world around respond accordingly. practice allows commutation brushless motor measurement wheel crank transmission speed object detection door closing window lifting automatically activatingdeactivating function among applications. type magnetic sensor infineon’s portfolio magnetic sensor divided two types: magnetic position sensor magnetic speed sensors. magnetic field detection sensor benefit highest standard accuracy versatility function within range operating parameter exceptional reliability. magnetic position sensor identify presence magnetic field accurately detect positional data object. magnetic speed sensor responsible detecting speed direction required rotating target wheels. automotive application magnetic sensor broadly categorized function within cam crankshaft wheel transmission system used inform everything speedometer ab increasingly autonomous driving.,purpose magnetic position sensors?,magnetic position sensor used detect presence ghosts.,1,1
infineon’s xensiv range represents broadest portfolio sensor solution market. industryleading proprietary technology ensures product bestfit solution application spanning automotive industrial consumer fields. magnetic sensor work detecting presence magnetic field providing actionable data regarding positioning speed rotation andor direction movement object gifting system ‘sight’ necessary interpret world around respond accordingly. practice allows commutation brushless motor measurement wheel crank transmission speed object detection door closing window lifting automatically activatingdeactivating function among applications. type magnetic sensor infineon’s portfolio magnetic sensor divided two types: magnetic position sensor magnetic speed sensors. magnetic field detection sensor benefit highest standard accuracy versatility function within range operating parameter exceptional reliability. magnetic position sensor identify presence magnetic field accurately detect positional data object. magnetic speed sensor responsible detecting speed direction required rotating target wheels. automotive application magnetic sensor broadly categorized function within cam crankshaft wheel transmission system used inform everything speedometer ab increasingly autonomous driving.,distinguishes tle9210x family term mosfet control?,magnetic sensor system provides ability communicate aliens.,1,1
xmc1000 xmc4400 motor control application kit offer readymade solution threephase drives. featuring microcontroller board threephase gate driver kit supported dave motor control apps library efficient evaluation.,happened virtual reality experiment?,brushless dc motor,1,1
motix 6ed2742s01q 160 v threephase soi gate driver.,protection feature motix 6ed2742s01q gate driver provide?,feature builtin wifi module.,1,1
infineon flash provides utmost safety reliability aecq100 qualified asil b compliant asil ready sil 2 ready. endurance flex architecture enables create partition configurable 1 million pe cycle 25 year data retention depending workload needs.,long endurance flex architecture infineon flash configured term pe cycles?,endurance flex architecture infineon flash configured 1 million pe cycles.,0,0
